sampleID,Acetic acid C2,Biogenic amine,Butyric acid C4,Cadaverin,Caproic acid C6,Chloride,Citric acid,D-lactic acid,Fat,Fat in dry matter,Force at 33,Force at fracture,Formic acid C1,Fracture deformation,Histamin,Isobutyric acid C4 iso,Isocaproic acid C6 iso,Isopentylamin,Isovaleric acid C5 iso,L-Lactic acid,L-Lactic acid proportion of TLA,L-leucine aminopeptidase (LAP),Lactic acid (total),Non-protein nitrogen,OPA-Value,Phenylethylamine,Propionic acid C3,Putrescin,Sodiumchloride,Spermidin,Spermin,Total nitrogen,Total volatile carboxylic acids,Tryptamine,Tyramin,Water in fat free cheese,Water-soluble nitrogen
EH_301_cheese_120d,19.92,541.0,0.86,290.0,0.16,9.1,0.0,51.1,324.0,555.0,7.33,8.35,5.41,33.1,0.0,0.06,0.03,0.0,0.11,57.4,52.9,1.9,108.5,7.12,204.9,22.5,0.95,73.1,15.1,0.0,0.0,35.5,27.5,0.0,155.0,615.0,9.85
EH_302_cheese_120d,10.43,34.0,0.77,11.0,0.12,8.9,0.0,7.8,335.0,552.0,,10.5,1.45,30.0,0.0,0.05,0.03,0.0,0.09,98.6,92.7,0.7,106.5,6.52,163.9,18.5,1.72,0.0,14.7,0.0,0.0,37.0,14.66,0.0,4.43,591.0,10.0
EH_303_cheese_120d,16.49,398.0,0.73,172.0,0.15,8.7,0.0,46.8,326.0,555.0,7.27,7.38,3.78,37.4,0.0,0.03,0.01,0.0,0.06,65.5,58.3,5.45,112.3,6.2,151.8,32.4,0.47,94.3,14.4,0.0,0.0,35.9,21.72,0.0,99.6,613.0,11.3
EH_304_cheese_120d,17.66,481.0,0.77,200.0,0.14,9.1,0.0,45.7,316.0,548.0,6.85,7.12,4.41,39.6,0.0,0.05,0.01,0.0,0.1,63.5,58.1,5.3,109.3,6.24,154.4,45.6,0.81,106.0,14.9,0.0,0.0,35.1,23.95,0.0,128.0,618.0,11.3
EH_305_cheese_120d,16.03,391.0,0.84,204.0,0.15,9.8,0.0,48.1,326.0,556.0,,7.95,4.14,29.9,0.0,0.04,0.03,0.0,0.08,61.8,56.2,5.95,109.9,6.35,153.6,17.0,0.75,88.0,16.2,0.0,0.0,34.6,22.06,0.0,81.9,614.0,10.4
EH_306_cheese_120d,15.99,391.0,0.64,191.0,0.13,8.9,0.0,48.8,324.0,550.0,8.25,8.6,3.85,38.1,0.0,0.03,0.01,0.0,0.06,64.1,56.8,5.1,112.9,6.23,159.4,23.1,0.46,88.7,14.6,0.0,0.0,35.9,21.17,0.0,88.0,608.0,10.4
EH_307_cheese_120d,17.11,531.0,0.72,245.0,0.14,9.3,0.0,42.6,314.0,537.0,7.08,7.25,3.48,39.8,0.0,0.04,0.03,0.0,0.09,66.7,61.0,6.1,109.3,6.21,158.2,45.6,0.79,119.0,15.3,0.0,0.0,36.5,22.4,0.0,120.0,605.0,11.5
EH_308_cheese_120d,16.74,421.0,1.02,223.0,0.15,10.4,0.0,43.3,321.0,552.0,,7.24,3.89,31.3,0.0,0.08,0.04,0.0,0.16,64.0,59.7,5.15,107.3,6.04,154.1,16.6,0.86,102.0,17.2,0.0,0.0,34.9,22.94,0.0,79.7,616.0,12.7
EH_309_cheese_120d,20.61,123.0,1.16,29.1,0.16,11.5,0.0,53.2,318.0,534.0,8.96,8.97,6.03,35.3,0.0,0.12,0.11,0.0,0.21,57.6,52.0,2.55,110.8,6.93,203.1,15.8,0.44,0.0,19.0,0.0,0.0,37.1,28.84,0.0,78.2,594.0,10.0
EH_310_cheese_120d,12.32,31.0,1.26,20.2,0.15,13.9,0.0,12.6,306.0,517.0,9.05,9.4,1.6,38.7,0.0,0.23,0.18,0.0,0.44,74.7,85.5,2.4,87.3,6.85,217.7,0.0,0.69,0.0,23.0,0.0,0.0,37.3,16.87,0.0,10.8,588.0,15.3
EH_311_cheese_120d,14.49,159.0,1.17,22.6,0.15,12.5,0.0,47.8,324.0,538.0,6.19,,3.93,,0.0,0.11,0.06,0.0,0.2,56.5,54.2,6.95,104.3,5.55,152.8,33.3,0.35,0.0,20.6,0.0,0.0,34.8,20.46,0.0,103.0,589.0,12.5
EH_312_cheese_120d,16.37,200.0,1.52,19.7,0.14,12.1,0.0,46.6,315.0,536.0,6.0,,4.49,,0.0,0.2,0.18,0.0,0.28,56.1,54.6,5.65,102.7,5.92,167.7,39.4,0.61,0.0,20.0,0.0,0.0,36.5,23.79,0.0,141.0,601.0,12.7
EH_313_cheese_120d,18.6,133.0,1.47,27.5,0.16,12.6,0.0,47.7,310.0,534.0,8.17,8.28,4.95,37.1,0.0,0.2,0.21,0.0,0.28,52.5,52.4,5.85,100.1,5.97,153.0,19.6,0.5,0.0,20.7,0.0,0.0,35.7,26.37,0.0,85.9,607.0,10.7
EH_314_cheese_120d,19.62,157.0,1.47,21.9,0.2,13.4,0.0,45.7,311.0,532.0,4.31,,5.04,,0.0,0.28,0.2,0.0,0.47,53.3,53.8,5.75,99.0,5.87,172.0,21.6,0.57,0.0,22.2,0.0,0.0,35.8,27.85,0.0,114.0,602.0,16.0
EH_315_cheese_120d,13.24,158.0,1.15,19.0,0.12,12.1,0.0,45.1,317.0,537.0,9.87,9.74,3.5,32.1,0.0,0.1,0.07,0.0,0.17,67.1,59.8,6.35,112.2,6.02,178.3,27.0,0.37,0.0,20.0,0.0,0.0,36.5,18.72,0.0,112.0,600.0,12.0
EH_316_cheese_120d,17.3,117.0,1.14,16.8,0.14,12.8,0.0,47.0,315.0,535.0,7.0,7.65,4.37,43.3,0.0,0.12,0.11,0.0,0.21,60.6,56.3,6.15,107.6,5.94,169.8,16.6,0.3,0.0,21.1,0.0,0.0,35.7,23.69,0.0,83.8,600.0,11.9
